rank,word,frequency,log_frequency,zm_log_prediction,residual_log_freq_minus_zm,sr_x_log_rank,natural_raw_c_over_r_plus_c,natural_param_x_c_over_r_plus_c,reference_x_log_r_plus_c
17,it,8248,9.0177260256967955,7.568788519417426,1.4489375062793695,0.31636607816688778,0.93507605689191642,0.94136683441701763,0.062993336694673691
18,his,7605,8.936561204693394,7.5622155749993443,1.3743456296940497,0.32173985722264703,0.93151853592541367,0.93793927492010076,0.063778849383251901
19,he,7422,8.912203841620542,7.5556675900984125,1.3565362515221295,0.32682301614442677,0.92798798172363284,0.93453769705235623,0.064561379235497568
20,be,7401,8.9093704051974658,7.5491443758733752,1.3602260293240906,0.33164538283662615,0.92448408882360256,0.93116180650982361,0.065340948819257519
21,this,7127,8.8716456675018716,7.5426457456180316,1.32899992188384,0.33623241639348644,0.92100655635846029,0.92781131341674927,0.066117580447224447
22,your,7065,8.8629082951186273,7.5361715147291708,1.3267367803894565,0.34060602071344509,0.91755508797133312,0.92448593224261233,0.066891296180769264
23,but,6781,8.8218798626838417,7.5297215006751159,1.2921583620087258,0.34478517710787565,0.91412939173114705,0.92118538172100994,0.067662117833700214
24,have,6284,8.745761999375512,7.5232955229648333,1.2224664764106787,0.34878644217491067,0.910729180050316,0.91790938477035355,0.068430066975954024
25,as,6217,8.7350427542693367,7.5168934031176349,1.2181493511517019,0.35262434397151282,0.9073541696042603,0.91465766841632634,0.069195164937217585
26,thou,5937,8.6889592342706763,7.5105149646334315,1.1784442696372448,0.35631170043814281,0.90400408125270848,0.91142996371606144,0.069957432810482223
27,him,5578,8.6265855681874335,7.504160032963533,1.1224255352239005,0.35985987769581829,0.90067863996273612,0.90822600568399148,0.070716891455533365
28,so,5479,8.6086778815384157,7.4978284354819902,1.1108494460564255,0.36327900134575003,0.89737757473349633,0.90504553321932868,0.071473561502375618
29,will,5333,8.5816692106006016,7.491520001457463,1.0901492091431386,0.3665781306737399,0.89410061852260103,0.90188828903513596,0.072227463354594859
30,d,5220,8.560252680876685,7.48523456202558,1.075018118851105,0.3697654033097974,0.89084750817410718,0.89875401958894363,0.072978617192660314
31,what,5140,8.5448083584492114,7.4789719501618404,1.065836408287371,0.37284815615912675,0.8876179843480716,0.8956424750148777,0.073727042977165119
32,her,4638,8.4420385178154778,7.4727320006549576,0.96930651716052019,0.37583302712717431,0.88441179145163074,0.89255340905725777,0.074472760452009443
33,thy,4354,8.3788502417944919,7.4665145500807295,0.91233569171376239,0.37872604118661629,0.88122867757156986,0.889486579005629,0.075215789147525136
34,all,4349,8.3777012125976391,7.4603194367763415,0.91738177582129765,0.38153268359232262,0.87806839440834306,0.88644174563119282,0.075956148383545793
35,by,4126,8.325063693631197,7.4541465008151526,0.87091719281604441,0.38425796248063676,0.87493069721150696,0.88341867312459921,0.076693857272419952
36,do,4088,8.3158111318835406,7.4479955839819194,0.86781554790162119,0.38690646264808193,0.87181534471653532,0.88041712903506975,0.077428934721972362
37,no,4078,8.3133619511344001,7.4418665297484701,0.87149542138593006,0.38948239196014539,0.86872209908297759,0.87743688421081512,0.078161399438411439
38,we,3909,8.2710368657929543,7.4357591832497931,0.83527768254316115,0.39198962156986167,0.86565072583392955,0.87447771274071706,0.078891269929185284
39,shall,3866,8.2599756597682763,7.4296733912605681,0.83030226850770816,0.39443172091131407,0.86260099379678412,0.87153939189724361,0.079618564505788317
40,if,3811,8.2456469008738598,7.423609002172098,0.8220378987017618,0.39681198826206099,0.85957267504522883,0.86862170208056533,0.080343301286516955
41,are,3722,8.2220164372021962,7.4175658659696371,0.80445057123255914,0.39913347753119421,0.8565655448424625,0.86572442676384687,0.081065498199179201
42,on,3531,8.1693363959283865,7.4115438342101427,0.75779256171824372,0.40139902181892134,0.85357938158559821,0.86284735243968025,0.081785172983753956
43,thee,3423,8.1382726385301858,7.4055427600003778,0.73272987852980798,0.40361125420361571,0.85061396675122569,0.85999026856763683,0.082502343195007044
44,o,3306,8.1034942783809694,7.3995624979754187,0.70393178040555071,0.40577262613887988,0.84766908484210524,0.8571529675229077,0.083217026205060274
45,our,3290,8.0986428437594178,7.3936029042775342,0.70503993948188359,0.4078854237829686,0.84474452333496353,0.85433524454600696,0.083929239205915926
46,king,3210,8.0740262161240608,7.3876638365354115,0.68636237958864932,0.40995178253331055,0.841840072629368,0.85153689769351404,0.08463899921193839
47,lord,3166,8.0602242404409576,7.3817451538437506,0.67847908659720702,0.41197369999779593,0.83895552599765111,0.84875772778982694,0.0853463230622937
48,now,3036,8.0182961385155203,7.3758467167432062,0.64244942177231401,0.41395304760034557,0.83609067953586125,0.84599753837990499,0.08605122742334563
49,sir,2999,8.0060341787490099,7.3699683872006752,0.63606579154833476,0.41589158098976065,0.83324533211571539,0.84325613568297697,0.086753728791012785
50,good,2995,8.0046995105495498,7.3641100285899093,0.64058948195964049,0.41779094939694772,0.8304192853375284,0.84053332854718998,0.087453843493084327
51,she,2985,8.0013550258267028,7.3582715056724606,0.64308352015424219,0.41965270406549388,0.82761234348409807,0.83782892840517864,0.08815158769149789
52,from,2902,7.9731554334441332,7.3524526845789531,0.62070274886518018,0.42147830586357765,0.82482431347552188,0.83514274923053311,0.08884697738457728
53,they,2842,7.952263308657046,7.3466534327906619,0.60560987586638415,0.42326913217079748,0.822055004824924,0.83247460749514324,0.089540028409233863
54,at,2742,7.9164428601222596,7.3408736191214086,0.57556924100085105,0.42502648312125318,0.81930422959507099,0.82982432212739887,0.090230756443130944
55,come,2654,7.8838232148921525,7.3351131136997534,0.54871010119239916,0.42675158727376666,0.81657180235585558,0.82719171447122708,0.090919177006811153
56,or,2646,7.8808043446749014,7.3293717879514801,0.55143255672342129,0.42844560677118493,0.81385754014262901,0.8245766082459467,0.091605305465789613
57,ll,2623,7.8720739798668733,7.3236495145823852,0.54842446528448807,0.43010964204303292,0.81116126241536102,0.82197882950691992,0.092289157032611313
58,which,2571,7.8520502072658891,7.3179461675613382,0.53410403970455089,0.43174473609917474,0.80848279101860909,0.8193982066069847,0.092970746768875165
59,let,2521,7.8324109271879196,7.3122616221036303,0.52014930508428936,0.43335187845644008,0.8058219501422782,0.81683457015864691,0.093650089587224039
60,more,2519,7.8316172763526106,7.3065957546545821,0.52502152169802851,0.43493200873523225,0.80317856628315309,0.81428775299701894,0.094327200253303406
61,here,2503,7.8252452914317745,7.3009484428734481,0.52429684855832637,0.43648601995885467,0.80055246820718484,0.81175759014348314,0.095002093387685532
62,enter,2498,7.823245690685523,7.2953195656175467,0.52792612506797632,0.4380147615845616,0.79794348691251504,0.80924391877006763,0.095674783467765354
63,would,2489,7.8196363023675923,7.2897090029266849,0.52992729944090744,0.43951904229209254,0.79535145559322118,0.80674657816451523,0.096345284829622596
64,love,2465,7.8099470864767904,7.2841166360078038,0.52583045046898658,0.4409996325526091,0.79277620960376505,0.80426540969603122,0.097013611669855934
65,was,2464,7.8095413246534102,7.2785423472199007,0.53099897743350954,0.44245726699846433,0.79021758642413109,0.8018002567816952,0.097679778047385701
66,then,2440,7.7997533182872472,7.2729860200591663,0.52676729822808088,0.44389264661205113,0.78767542562563653,0.79935096485351997,0.098343797885229262
67,well,2397,7.7819732344343846,7.2674475391443831,0.51452569529000147,0.44530644075005721,0.78514956883739995,0.79691738132614509,0.099005684972246433
68,their,2376,7.773173680482536,7.2619267902025513,0.51124689027998471,0.44669928901775752,0.78263985971345262,0.79449935556514983,0.099665452964857876
69,there,2368,7.7698009960038963,7.2564236600547325,0.51337733594916379,0.44807180300648181,0.78014614390047887,0.79209673885597209,0.1003231153887357
70,how,2328,7.7527648088513281,7.2509380366021361,0.50182677224919203,0.4494245679060716,0.77766826900617092,0.78970938437341898,0.10097868564046678
71,am,2297,7.7393592026890978,7.2454698088124161,0.49388939387668174,0.45075814400296627,0.77520608456818529,0.78733714715175773,0.10163217698919105
72,when,2233,7.7111012518401578,7.2400188667061798,0.47108238513397804,0.45207306807351677,0.77275944202368663,0.78497988405537156,0.10228360257821244
73,them,2133,7.6652847184713506,7.2345851013437308,0.43069961712761984,0.4533698546812005,0.77032819467946645,0.78263745374997051,0.10293297542658456
74,man,2108,7.6534949096612532,7.2291684048119844,0.42432650484926882,0.45464899738558034,0.76791219768262498,0.78030971667434423,0.10358030843067312
75,hath,2065,7.6328855053951328,7.2237686702116317,0.40911683518350106,0.45591096987011892,0.76551130799180178,0.77799653501264332,0.10422561436569121
76,like,2028,7.6148053647110734,7.2183857916444598,0.39641957306661357,0.45715622699529651,0.76312538434894528,0.77569777266718054,0.10486890588721347
77,than,2018,7.6098622009135539,7.2130196642009086,0.39684253671264536,0.45838520578289055,0.76075428725160821,0.77341329523173796,0.10551019553266415
78,one,1989,7.5953872788539725,7.2076701839477799,0.38771709490619255,0.45959832633674891,0.75839787892575816,0.77114296996537113,0.1061494957227845
79,an,1913,7.5564279694402527,7.2023372479161907,0.35409072152406207,0.46079599270490984,0.75605602329909127,0.76888666576669729,0.10678681876307464
80,upon,1896,7.5475016828149668,7.1970207540896496,0.35048092872531722,0.46197859368749583,0.75372858597483994,0.76664425314866058,0.10742217684521632
81,know,1861,7.5288692566422508,7.1917206013923654,0.33714865524988546,0.46314650359442444,0.75141543420606172,0.7644156042137592,0.1080555820484714
82,go,1811,7.5016344578834131,7.1864366896777128,0.31519776820570033,0.46430008295662911,0.74911643687040086,0.76220059262972994,0.10868704634105981
83,say,1808,7.4999765409521215,7.1811689197168747,0.31880762123524686,0.46543967919417367,0.74683146444531134,0.75999909360567564,0.10931658158151714
84,may,1803,7.4972072232033176,7.1759171931876686,0.32129003001564893,0.46656562724435613,0.74456038898373256,0.75781098386862988,0.10994419952002973
85,make,1794,7.4922030426187414,7.1706814126635283,0.32152162995521305,0.46767825015264419,0.74230308409020662,0.75563614164054671,0.11056991179975149
86,did,1792,7.4910875935348757,7.1654614816026658,0.32562611193220992,0.46877785962905055,0.7400594248974296,0.75347444661570828,0.11119372995809962
87,us,1778,7.48324441607385,7.1602573043373745,0.32298711173647554,0.469864756572346,0.73782928804322645,0.75132577993854111,0.11181566542803151
88,yet,1763,7.4747721823978699,7.1550687860635378,0.31970339633433209,0.47093923156431483,0.73561255164794048,0.74919002418183145,0.11243572953930067
89,were,1733,7.4576092897156059,7.149895832830234,0.30771345688537188,0.47200156533608473,0.7334090952922302,0.74706706332533346,0.11305393351969704
90,should,1702,7.4395593091333199,7.1447383515295542,0.2948209576037657,0.4730520292084035,0.73121879999526318,0.74495678273475929,0.11367028849626505
91,must,1640,7.4024515208182438,7.1395962498865302,0.26285527093171357,0.47409088550758827,0.72904154819329969,0.74285906914114541,0.11428480549650655
92,scene,1632,7.3975615355240523,7.1344694364492405,0.26309209907481179,0.47511838795874539,0.72687722371865837,0.74077381062058667,0.11489749544956414
93,see,1573,7.3607399030582776,7.1293578205790418,0.23138208247923586,0.47613478205773285,0.72472571177905443,0.73870089657432914,0.11550836918738767
94,why,1568,7.357556200910353,7.1242613124409591,0.23329488846939395,0.47714030542323077,0.72258689893730443,0.73664021770921639,0.11611743744588279
95,had,1562,7.3537223303996315,7.1191798229942123,0.23454250740541926,0.47813518813018324,0.72046067309138961,0.73459166601848114,0.11672471086604366
96,such,1536,7.3369369137076177,7.1141132639828815,0.22282364972473623,0.47911965302578041,0.71834692345486906,0.73255513476287415,0.11733019999506809
97,tis,1516,7.3238305662023171,7.1090615479267107,0.21476901827560635,0.48009391602906892,0.71624554053763834,0.73053051845212513,0.11793391528745686
98,out,1512,7.3211885567394779,7.1040245881120416,0.21716396862743625,0.48105818641519554,0.71415641612702285,0.72851771282672773,0.11853586710609648
99,where,1491,7.307202314764738,7.0990022985828851,0.20820001618185291,0.48201266708522239,0.71207944326920303,0.72651661484004271,0.11913606572332715
100,who,1451,7.2800082528841878,7.0939945941321216,0.18601365875206621,0.48295755482238262,0.71001451625096135,0.72452712264071151,0.11973452132199364
101,some,1442,7.2737863178448947,7.0890013902928217,0.18478492755207299,0.48389304053558579,0.70796153058174671,0.72254913555537659,0.1203312439964828
102,give,1440,7.2723983925700466,7.0840226033297071,0.18837578924033949,0.48481930949092866,0.70592038297604898,0.72058255407169924,0.12092624375374492
103,these,1419,7.2577076771600426,7.0790581502307113,0.17864952692933134,0.48573654153191098,0.70389097133607714,0.71862727982167096,0.12151953051430003
104,first,1396,7.2413662833223178,7.0741079486986873,0.16725833462363049,0.48664491128901255,0.70187319473473597,0.71668321556521142,0.12211111411323125
105,too,1353,7.2100796281707877,7.069171917143219,0.14090771102756872,0.48754458837924286,0.69986695339889415,0.71475026517404849,0.12270100430116239
106,can,1315,7.1815919446118652,7.0642499746725438,0.11734196993932144,0.48843573759623232,0.69787214869293912,0.71282833361587361,0.12328921074522296
107,take,1300,7.1701195434496281,7.0593420410856105,0.11077750236401762,0.48931851909139895,0.69588868310261187,0.71091732693876697,0.1238757430299979
108,t,1293,7.1647203787718574,7.0544480368642279,0.11027234190762947,0.49019308854668803,0.69391646021911646,0.70901715225588757,0.12446061065846527
109,mine,1270,7.1467721794526371,7.049567883165345,0.097204296287292102,0.49105959733935123,0.69195538472349971,0.7071277177304236,0.12504382305291956
110,speak,1249,7.1300985101255776,7.0447015018134191,0.085397008312158462,0.49191819269920151,0.69000536237129428,0.7052489325607969,0.12562538955588334
111,most,1245,7.1268908088988079,7.0398488152929062,0.087041993605901702,0.49276901785875149,0.6880662999774213,0.70338070696611621,0.12620531943100433
112,duke,1212,7.1000271666292596,7.0350097467408563,0.065017419888403261,0.49361221219661977,0.68613810540134634,0.70152295217187643,0.12678362186394121
113,time,1189,7.0808678966907816,7.0301842199396027,0.050683676751178908,0.49444791137456229,0.68422068753248444,0.69967558039589606,0.12736030596323633
114,up,1187,7.0791843946096682,7.0253721593095619,0.053812235300106259,0.49527624746846777,0.68231395627584923,0.69783850483449106,0.12793538076117722
115,st,1164,7.0596176282913827,7.0205734899021301,0.039044138389252581,0.49609734909363212,0.68041782253794147,0.69601163964887869,0.12850885521464461
116,heart,1153,7.0501225202690589,7.0157881373926756,0.034334382876383351,0.49691134152460964,0.67853219821287203,0.6941948999518075,0.1290807382059499
117,never,1151,7.0483864087218828,7.0110160280736427,0.037370380648240165,0.49771834680992016,0.67665699616871477,0.69238820179440841,0.1296510385436602
118,think,1149,7.0466472778487557,7.0062570888477254,0.040390189001030308,0.49851848388187492,0.67479213023408569,0.69059146215326495,0.13021976496341314
119,tell,1142,7.0405363902159559,7.001511247221158,0.039025142994797868,0.49931186866176808,0.67293751518494282,0.68880459891769463,0.13078692612871928
120,father,1126,7.026426808699636,6.996778431297086,0.029648377402549997,0.50009861416066714,0.6710930667316034,0.68702753087724067,0.13135253063175392
121,much,1101,7.0039741367226798,6.9920585697690356,0.011915566953644152,0.50087883057602045,0.669258701505974,0.68526017770936865,0.13191658699413811
122,exeunt,1095,6.9985096422506015,6.9873515919144573,0.011158050336144143,0.50165262538428956,0.66743433704898991,0.68350245996736458,0.13247910366770929
123,queen,1092,6.9957661563048505,6.9826574275883786,0.013108728716471951,0.50242010342980037,0.6656198917982582,0.68175429906842977,0.13304008903528103
124,th,1085,6.9893352659745602,6.9779760072171264,0.011359258757433821,0.50318136700999649,0.66381528507590337,0.68001561728196991,0.13359955141139224
125,doth,1083,6.9874902470009905,6.9733072617921401,0.014182985208850418,0.50393651595726929,0.66202043707660874,0.67828633771807401,0.13415749904304736
126,nor,1060,6.9660241871061128,6.9686511228638643,-0.0026269357577515251,0.50468564771752744,0.66023526885585271,0.67656638431617988,0.13471394011044513
127,exit,1041,6.9479370686149693,6.9640075225357361,-0.016070453920766781,0.50542885742566057,0.65845970231833328,0.67485568183392153,0.13526888272769844
128,men,1038,6.9450510637258338,6.9593763934582409,-0.014325329732407077,0.50616623797804405,0.65669366020658038,0.6731541558361579,0.1358223349435439
129,lady,1014,6.9216581841511289,6.9547576688230457,-0.033099484671916812,0.50689788010222181,0.65493706608974978,0.67146173268417586,0.13637430474204298
130,art,999,6.9067547786485539,6.9501512823572256,-0.043396503708671652,0.50762387242389917,0.65318984435259719,0.66977833952506716,0.13692480004327268
131,great,987,6.8946700394334819,6.9455571683175457,-0.05088712888406377,0.50834430153136878,0.65145192018462772,0.66810390428127397,0.13747382870400743
132,before,986,6.8936563546026353,6.9409752614848479,-0.04731890688221263,0.50905925203748603,0.6497232195694187,0.66643835564030285,0.13802139851839174
133,death,986,6.8936563546026353,6.9364054971584821,-0.042749142555846831,0.50976880663930713,0.64800366927411157,0.66478162304459865,0.13856751721860444
134,life,967,6.8741984954532942,6.9318478111508259,-0.057649315697531733,0.51047304617549205,0.64629319683907061,0.66313363668158287,0.13911219247551382
135,god,955,6.8617113404807304,6.9273021397818813,-0.065590799301150859,0.51117204968157481,0.64459173056770436,0.66149432747384607,0.13965543189932358
136,look,948,6.8543545022550214,6.9227684198739325,-0.068413917618911135,0.51186589444319242,0.64289919951644847,0.65986362706949642,0.14019724304021144
137,hear,943,6.8490662826334576,6.9182465887462765,-0.06918030611281889,0.51255465604736616,0.64121553348490468,0.65824146783265924,0.14073763338895851
138,hand,931,6.8362592772770672,6.9137365842100245,-0.077477306932957291,0.5132384084319167,0.63954066300613566,0.65662778283412671,0.14127661037757053
139,made,917,6.8211074722564646,6.9092383445629668,-0.088130872306502184,0.5139172239330948,0.63787451933711004,0.65502250584215149,0.14181418137989166
140,away,910,6.8134445995108956,6.9047518085845159,-0.091307209073620221,0.5145911733315065,0.636217034449298,0.65342557131338574,0.14235035371220908
141,fair,899,6.80128303447162,6.9002769155307,-0.098993881059080024,0.51526032589640203,0.63456814101941195,0.65183691438396063,0.14288513463385119
142,sweet,888,6.7889717429921701,6.8958136051292271,-0.10684186213705704,0.51592474942840116,0.63292777242029152,0.65025647086070404,0.14341853134777677
143,master,881,6.7810576259361799,6.891361817574623,-0.11030419163844307,0.51658451030071817,0.63129586271192872,0.64868417721249305,0.14395055100115711
144,true,878,6.7776465936351169,6.8869214935234133,-0.10927489988829642,0.51723967349895172,0.62967234663263261,0.64711997056174242,0.14448120068595116
145,day,864,6.7615727688040552,6.8824925740893832,-0.12091980528532797,0.51789030265949632,0.62805715959032937,0.64556378867602171,0.14501048743947248
146,very,852,6.7475865268293154,6.8780750008388871,-0.13048847400957175,0.51853646010663534,0.62645023765399599,0.64401556995980203,0.14553841824494868
147,again,847,6.7417006946520548,6.8736687157862288,-0.13196802113417405,0.5191782068883668,0.62485151754522505,0.64247525344632928,0.14606500003207493
148,thus,847,6.7417006946520548,6.869273661389089,-0.12757296673703422,0.51981560281101513,0.62326093662991855,0.64094277878962114,0.14659023967755999
149,own,832,6.7238324408212087,6.8648897805440168,-0.14105733972280809,0.52044870647267816,0.62167843291010816,0.63941808625658614,0.14711414400566381
150,cannot,825,6.7153833863346808,6.8605170165819835,-0.14513363024730275,0.52107757529555387,0.62010394501589983,0.63790111671926264,0.14763671978873086
151,eyes,807,6.6933236682699491,6.8561553132639812,-0.16283164499403213,0.52170226555719512,0.61853741219754044,0.6363918116471754,0.14815797374771453
152,ay,793,6.6758232216348476,6.8518046147766842,-0.17598139314183658,0.52232283242073141,0.61697877431760406,0.63489011309980692,0.14867791255269641
153,pray,793,6.6758232216348476,6.8474648657281705,-0.17164164409332283,0.52293932996409997,0.61542797184329723,0.63339596371918427,0.14919654282339745
154,richard,792,6.674561391814426,6.843136011143681,-0.16857461932925499,0.5235518112083255,0.61388494583887809,0.63190930672257473,0.14971387112968482
155,two,789,6.6707663208458738,6.8388179964614384,-0.16805167561556456,0.52416032814488323,0.6123496379581912,0.6304300858952937,0.15022990399207103
156,night,785,6.6656837177824082,6.8345107675285401,-0.16882704974613194,0.52476493176218375,0.610821990437313,0.6289582455836189,0.15074464788220587
157,prince,775,6.6528630293533473,6.8302142705968585,-0.1773512412435112,0.52536567207121088,0.60930194608730703,0.62749373068780945,0.15125810922336519
158,mistress,765,6.6398758338265358,6.8259284523190331,-0.18605261849249732,0.52596259813034474,0.6077894482870877,0.62603648665523137,0.15177029439093032
159,other,763,6.6372580312844569,6.8216532597444957,-0.18439522846003875,0.52655575806940358,0.60628444097638967,0.62458645947358316,0.15228120971286394
160,old,754,6.6253923680079563,6.8173886403155297,-0.19199627230757343,0.52714519911293067,0.60478686864884112,0.62314359566422239,0.15279086147017892
161,being,753,6.6240652277998935,6.8131345418634179,-0.18906931406352445,0.52773096760275606,0.60329667634514039,0.62170784227559162,0.15329925589740143
162,honour,752,6.62273632394984,6.8088909126045909,-0.18615458865475087,0.52831310901985928,0.60181380964633235,0.62027914687673991,0.15380639918302857
163,been,750,6.620073206530356,6.8046577011368541,-0.18458449460649806,0.52889166800556087,0.60033821466718396,0.6188574575509409,0.15431229746998115
164,son,746,6.6147256002037604,6.8004348564356558,-0.18570925623189538,0.52946668838206401,0.59886983804965688,0.61744272288940416,0.1548169568560489
165,world,738,6.6039438246004725,6.7962223278503924,-0.19227850324991991,0.53003821317237276,0.59740862695647656,0.61603489198507821,0.15532038339433218
166,any,733,6.5971457018866513,6.7920200651007612,-0.19487436321410989,0.53060628461960857,0.59595452906479351,0.61463391442654403,0.15582258309367758
167,fear,727,6.5889264775335192,6.7878280182731654,-0.19890154073964617,0.53117094420574629,0.59450749255993873,0.6132397402919989,0.15632356191910818
168,done,723,6.5834092221587648,6.7836461378171471,-0.20023691565838231,0.53173223266979108,0.59306746612926875,0.61185232014332547,0.15682332579224889
169,blood,719,6.577861357721047,6.7794743745418895,-0.20161301682084254,0.53229019002541589,0.59163439895610037,0.61047160502024866,0.15732188059174565
170,call,716,6.5736801669606457,6.7753126796127265,-0.20163251265208082,0.53284485557807904,0.59020824071373279,0.60909754643457614,0.15781923215368129
171,heaven,715,6.5722825426940075,6.7711610045477251,-0.1988784618537176,0.53339626794163908,0.58878894155955641,0.60773009636452202,0.15831538627198508
172,both,712,6.5680779114119758,6.7670193012142903,-0.19894138980231446,0.53394446505448534,0.58737645212924605,0.60636920724911259,0.15881034869883748
173,poor,712,6.5680779114119758,6.7628875218258209,-0.19480961041384504,0.53448948419520259,0.58597072353103807,0.60501483198267192,0.15930412514507059
174,leave,711,6.5666724298032406,6.7587656189384031,-0.19209318913516249,0.5350313619977809,0.58457170734008879,0.60366692390938725,0.15979672128056327
175,er,709,6.5638555265321274,6.75465354544753,-0.1907980189154026,0.53557013446639323,0.58317935559291356,0.60232543681795048,0.16028814273463199
176,name,709,6.5638555265321274,6.750551254584888,-0.18669572805276058,0.53610583698974967,0.58179362078190644,0.60099032493627835,0.16077839509641662
177,whose,704,6.5567783561580422,6.7464586999151539,-0.18968034375711174,0.53663850435504612,0.58041445584993578,0.59966154292630536,0.16126748391526202
178,down,699,6.5496507422338102,6.7423758353328438,-0.19272509309903363,0.53716817076151968,0.57904181418501799,0.59833904587885223,0.16175541470109503
179,though,697,6.5467854107605241,6.7383026150592009,-0.1915172042986768,0.53769486983362391,0.57767564961506601,0.597022789308566,0.16224219292479636
180,till,697,6.5467854107605241,6.7342389936391029,-0.18745358287857883,0.53821863463383834,0.57631591640271251,0.5957127291489327,0.16272782401856972
181,house,691,6.5381398237676702,6.7301849259380422,-0.19204510217037196,0.53873949767512175,0.57496256924020539,0.59440882174735898,0.16321231337630393
182,could,689,6.5352412710136587,6.7261403671390916,-0.19089909612543288,0.53925749093302311,0.57361556324437546,0.59311102386032377,0.16369566635393404
183,henry,684,6.5279579176225502,6.7221052727399453,-0.19414735511739512,0.53977264585746088,0.57227485395167443,0.59181929264859767,0.16417788826979574
184,into,682,6.5250296578434623,6.7180795985499842,-0.19304994070652182,0.54028499338418035,0.5709403973132825,0.59053358567252867,0.16465898440497651
185,nothing,681,6.523562306149512,6.7140633006873607,-0.19050099453784863,0.54079456394590186,0.56961214969028451,0.58925386088739573,0.16513896000366279
186,noble,677,6.517671272912275,6.7100563355761391,-0.19238506266386413,0.54130138748316781,0.56829006784891223,0.58798007663882346,0.16561782027348282
187,ever,674,6.513230110912307,6.7060586599434533,-0.19282854903114632,0.54180549345489804,0.56697410895585443,0.5867121916582646,0.16609557038584588
188,brother,668,6.5042881735366453,6.7020702308167035,-0.19778205728005815,0.54230691084866567,0.56566423057363013,0.58545016505854153,0.16657221547627726
189,comes,660,6.4922398350204711,6.6980910055207854,-0.20585117050031432,0.54280566819069875,0.56436039065602717,0.58419395632945215,0.16704776064474952
190,still,654,6.4831073514571989,6.6941209416753509,-0.21101359021815203,0.54330179355561803,0.5630625475436033,0.58294352533343485,0.1675222109560098
191,therefore,654,6.4831073514571989,6.6901599971920973,-0.20705264573489846,0.54379531457592101,0.56177065995924891,0.58169883230129349,0.16799557143990351
192,even,641,6.4630294569206699,6.6862081302720924,-0.2231786733514225,0.54428625845121537,0.56048468700381104,0.58045983782798138,0.16846784709169463
193,better,636,6.4551985633401223,6.6822652994031309,-0.22706673606300853,0.54477465195721519,0.55920458815177754,0.57922650286844257,0.16893904287238107
194,part,633,6.4504704221441758,6.6783314633571109,-0.22786104121293516,0.54526052145450377,0.55793032324701952,0.57799878873351107,0.16940916370900883
195,second,632,6.4488893941468577,6.6744065811874496,-0.22551718704059187,0.54574389289707048,0.5566618524985929,0.57677665708586401,0.16987821449497945
196,another,626,6.4393503711000983,6.6704906122265335,-0.23114024112643516,0.54622479184063044,0.55539913647659589,0.57556006993603204,0.17034620009035695
197,grace,624,6.4361503683694279,6.6665835160831772,-0.23043314771374934,0.54670324345073151,0.55414213610808394,0.57434898963846281,0.17081312532216913
